record_date,department,student_type,date,time_in,time_out
2019/07/01 3:05:53 PM MDT,bren / environmental studies,Undergraduate student,7/8/2019,16:50,18:20
2019/07/01 3:06:23 PM MDT,chemistry,Graduate student,7/8/2019,18:00,
2019/07/01 3:06:49 PM MDT,bren / environmental studies,Undergraduate student,7/9/2019,12:10,
2019/07/01 3:07:26 PM MDT,chemistry,Graduate student,7/9/2019,12:15,12:25
2019/07/01 3:08:16 PM MDT,pstat / stats / actuarial,Undergraduate student,7/9/2019,12:20,14:50
2019/07/01 3:08:49 PM MDT,math,Undergraduate student,7/9/2019,12:50,
2019/07/01 3:09:34 PM MDT,pstat / stats / actuarial,Undergraduate student,7/9/2019,13:24,16:45
2019/07/01 3:09:58 PM MDT,pstat / stats / actuarial,Undergraduate student,7/9/2019,13:25,16:45
2019/07/01 3:10:34 PM MDT,pstat / stats / actuarial,Undergraduate student,7/9/2019,13:25,
2019/07/01 3:11:07 PM MDT,N/A,Faculty,7/9/2019,13:40,
2019/07/01 3:11:59 PM MDT,geog,Undergraduate student,7/9/2019,13:45,15:45
2019/07/01 3:12:26 PM MDT,geog,Undergraduate student,7/9/2019,13:50,15:45
2019/07/01 3:12:56 PM MDT,bren / environmental studies,Undergraduate student,7/9/2019,14:14,18:20
2019/08/26 3:39:50 PM MDT,econ,Undergraduate student,7/9/2019,13:20,
2019/08/26 3:40:13 PM MDT,engineering,Graduate student,7/9/2019,14:10,14:30
2019/08/26 3:40:29 PM MDT,psychology,Faculty,7/10/2019,12:01,16:12
2019/08/26 3:40:58 PM MDT,econ,Graduate student,7/10/2019,14:28,15:18
2019/08/26 3:41:12 PM MDT,pstat / stats / actuarial,Undergraduate student,7/10/2019,15:00,16:35
2019/08/26 3:41:27 PM MDT,library,Faculty,7/10/2019,15:00,15:45
2019/08/26 3:41:40 PM MDT,econ,Undergraduate student,7/10/2019,16:00,
2019/08/26 3:41:50 PM MDT,econ,Undergraduate student,7/10/2019,16:00,
2019/08/26 3:42:09 PM MDT,engineering,Graduate student,7/12/2019,13:15,13:30
2019/08/26 3:42:51 PM MDT,psychology,Faculty,7/15/2019,13:10,15:33
2019/08/26 3:43:06 PM MDT,psychology,Undergraduate student,7/16/2019,16:00,16:11
2019/08/26 3:35:11 PM MDT,biology/eemb/mcdb,Undergraduate student,7/17/2019,16:00,16:57
2019/08/26 3:35:21 PM MDT,geog,Undergraduate student,7/17/2019,16:07,16:57
2019/08/26 3:35:33 PM MDT,sociology,Undergraduate student,7/18/2019,13:02,14:53
2019/08/26 3:35:44 PM MDT,physics,Undergraduate student,7/18/2019,13:30,13:35
2019/08/26 3:36:05 PM MDT,physics,Undergraduate student,7/18/2019,14:00,15:30
2019/08/26 3:36:20 PM MDT,physics,Undergraduate student,7/18/2019,14:00,15:30
2019/08/26 3:37:05 PM MDT,geog,Graduate student,7/19/2019,13:00,15:00
2019/08/26 3:37:40 PM MDT,geog,Undergraduate student,7/19/2019,13:00,15:00
2019/08/26 3:37:55 PM MDT,geog,Graduate student,7/19/2019,13:30,15:00
2019/08/26 3:38:09 PM MDT,geog,Graduate student,7/22/2019,13:00,14:15
2019/08/26 3:38:37 PM MDT,geog,Undergraduate student,7/22/2019,13:00,14:16
2019/08/26 3:38:50 PM MDT,geog,Undergraduate student,7/22/2019,13:00,14:16
2019/08/26 3:39:05 PM MDT,earth sciences,Graduate student,7/22/2019,13:00,14:11
2019/08/26 3:39:26 PM MDT,psychology,Faculty,7/23/2019,13:10,
2019/08/26 3:31:06 PM MDT,rmp / sera,Undergraduate student,7/24/2019,14:47,15:04
2019/08/26 3:31:21 PM MDT,geog,Undergraduate student,7/24/2019,12:55,14:00
2019/08/26 3:31:40 PM MDT,geog,Graduate student,7/26/2019,14:20,15:30
2019/08/26 3:31:51 PM MDT,geog,Undergraduate student,7/26/2019,14:20,15:10
2019/08/26 3:32:06 PM MDT,geog,Undergraduate student,7/26/2019,14:20,
2019/08/26 3:32:23 PM MDT,N/A,Undergraduate student,7/28/2019,13:30,15:00
2019/08/26 3:32:37 PM MDT,N/A,Undergraduate student,7/28/2019,13:00,17:00
2019/08/26 3:32:59 PM MDT,N/A,Undergraduate student,7/29/2019,13:00,17:00
2019/08/26 3:33:12 PM MDT,biology/eemb/mcdb,Undergraduate student,7/30/2019,15:50,16:55
2019/08/26 3:33:21 PM MDT,N/A,Undergraduate student,7/31/2019,13:00,
2019/08/26 3:33:34 PM MDT,N/A,Undergraduate student,7/31/2019,14:50,
2019/08/26 3:33:46 PM MDT,biology/eemb/mcdb,Undergraduate student,7/31/2019,16:00,16:53
2019/08/26 2:09:21 PM MDT,earth sciences,Graduate student,8/1/2019,13:15,14:15
2019/08/26 2:09:38 PM MDT,psychology,Undergraduate student,8/1/2019,13:15,
2019/08/26 2:12:28 PM MDT,geog,Undergraduate student,8/2/2019,13:15,14:15
2019/08/26 2:12:45 PM MDT,psychology,Undergraduate student,8/2/2019,16:55,
2019/08/26 3:28:05 PM MDT,N/A,Undergraduate student,8/4/2019,13:00,
2019/08/26 3:28:24 PM MDT,global,Undergraduate student,8/4/2019,13:00,15:18
2019/08/26 3:28:50 PM MDT,pstat / stats / actuarial,Undergraduate student,8/7/2019,14:08,14:26
2019/08/26 3:29:17 PM MDT,geog,Undergraduate student,8/9/2019,14:38,16:20
2019/08/26 3:30:06 PM MDT,global,Undergraduate student,8/9/2019,15:02,17:00
2019/08/26 3:30:19 PM MDT,geog,Undergraduate student,8/9/2019,17:00,
2019/08/26 3:30:40 PM MDT,psychology,Undergraduate student,8/12/2019,14:43,17:00
2019/08/26 3:43:53 PM MDT,psychology,Undergraduate student,8/12/2019,15:28,16:00
2019/08/26 3:44:10 PM MDT,pstat / stats / actuarial,Undergraduate student,8/13/2019,15:55,16:55
2019/08/26 3:44:28 PM MDT,pstat / stats / actuarial,Undergraduate student,8/15/2019,16:00,16:55
2019/08/26 3:44:42 PM MDT,math,Undergraduate student,8/16/2019,14:30,
2019/08/26 3:44:54 PM MDT,psychology,Undergraduate student,8/18/2019,14:34,
2019/08/26 3:45:25 PM MDT,psychology,Undergraduate student,8/19/2019,13:34,
2019/08/26 3:45:43 PM MDT,geog,Undergraduate student,8/19/2019,16:30,17:00
2019/08/26 3:46:01 PM MDT,psychology,Undergraduate student,8/21/2019,14:30,
2019/08/26 3:46:10 PM MDT,geog,Undergraduate student,8/21/2019,14:30,17:00
2019/11/26 5:14:40 PM MST,math,Undergraduate student,8/21/2019,16:19,17:00
2019/11/26 5:14:55 PM MST,math,Undergraduate student,8/21/2019,16:25,17:00
2019/11/26 5:15:23 PM MST,geog,Undergraduate student,8/22/2019,13:45,14:35
2019/11/26 5:15:44 PM MST,physics,Undergraduate student,8/22/2019,13:55,
2019/11/26 5:16:01 PM MST,geog,Undergraduate student,8/22/2019,13:56,16:00
2019/11/26 5:11:58 PM MST,engineering,Undergraduate student,8/26/2019,15:02,16:55
2019/11/26 5:12:15 PM MST,pstat / stats / actuarial,Undergraduate student,8/26/2019,15:50,
2019/11/26 5:16:22 PM MST,history,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:16:35 PM MST,econ,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:16:54 PM MST,computer science,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:17:09 PM MST,computer science,Undergraduate student,8/26/2019,13:00,
2019/11/26 5:17:33 PM MST,pstat / stats / actuarial,Undergraduate student,8/26/2019,13:40,16:40
2019/11/26 5:13:12 PM MST,psychology,Undergraduate student,8/27/2019,14:15,15:00
2019/11/26 5:13:43 PM MST,geog,Undergraduate student,8/28/2019,15:10,
2019/11/26 5:14:23 PM MST,earth sciences,Undergraduate student,8/28/2019,15:15,16:15
2019/11/26 5:17:01 PM MST,pstat / stats / actuarial,Undergraduate student,8/28/2019,14:00,
2019/11/26 5:17:17 PM MST,pstat / stats / actuarial,Undergraduate student,8/28/2019,14:00,
2019/11/26 5:14:45 PM MST,econ,Undergraduate student,8/29/2019,13:09,16:24
2019/11/26 5:15:16 PM MST,geog,Undergraduate student,8/29/2019,14:30,
2019/11/26 5:15:39 PM MST,pstat / stats / actuarial,Undergraduate student,8/29/2019,14:00,
2019/11/26 5:16:07 PM MST,geog,Undergraduate student,8/29/2019,14:00,14:20
2019/11/26 5:17:39 PM MST,econ,Undergraduate student,8/30/2019,13:45,15:56
2019/11/26 5:18:02 PM MST,history of art/architecture,Undergraduate student,9/4/2019,16:00,17:00
2019/11/26 5:18:33 PM MST,geog,Undergraduate student,9/4/2019,13:00,17:00
2019/11/26 5:18:59 PM MST,ece,Undergraduate student,9/5/2019,13:45,16:20
2019/11/26 5:19:20 PM MST,history of art/architecture,Undergraduate student,9/5/2019,16:00,17:00
2019/11/26 5:19:47 PM MST,geog,Undergraduate student,9/8/2019,13:10,16:15
2019/11/26 5:20:36 PM MST,linguistics,Undergraduate student,9/9/2019,15:28,16:18
2019/11/26 5:20:57 PM MST,geog,Undergraduate student,9/10/2019,13:45,15:30
2019/11/26 5:21:36 PM MST,communication,Undergraduate student,9/10/2019,14:48,15:27
2019/11/26 5:21:56 PM MST,pstat / stats / actuarial,Undergraduate student,9/10/2019,15:40,
2019/11/26 5:22:24 PM MST,math,Undergraduate student,9/10/2019,15:40,
2019/11/26 5:22:48 PM MST,linguistics,Undergraduate student,9/11/2019,13:38,14:20
2019/11/26 5:23:10 PM MST,psychology,Undergraduate student,9/11/2019,13:44,
2019/11/26 5:23:38 PM MST,psychology,Undergraduate student,9/11/2019,14:00,17:00
2019/11/26 5:24:02 PM MST,computer science,Undergraduate student,9/11/2019,14:25,15:00
2019/11/26 5:16:40 PM MST,history of art/architecture,Undergraduate student,9/12/2019,14:00,17:00
2019/11/26 5:24:23 PM MST,geog,Undergraduate student,9/12/2019,13:30,13:40
2019/11/26 5:25:10 PM MST,physics,Undergraduate student,9/12/2019,16:20,
2019/11/26 5:25:29 PM MST,pstat / stats / actuarial,Undergraduate student,9/13/2019,14:20,15:30
